"id","user_ids","score","rating_id"
384,48,4,8
385,49,3,13
386,49,5,3
387,49,1,6
388,49,2,11
389,49,1,9
390,49,2,7
391,49,5,2
392,49,2,5
393,50,4,8
394,50,4,12
395,50,1,1
396,50,2,3
397,50,2,11
398,50,1,2
399,50,1,10
400,50,5,4
401,51,5,14
402,51,1,16
403,51,5,7
404,51,3,10
405,51,2,6
406,51,3,11
407,51,4,1
408,51,1,2
409,52,2,13
410,52,4,9
411,52,2,6
412,52,5,16
413,52,2,4
414,52,3,14
415,52,2,1
416,52,1,8
417,53,5,7
418,53,2,13
419,53,3,3
420,53,1,15
421,53,3,5
422,53,4,6
423,53,3,2
424,53,2,8
425,54,5,16
426,54,4,1
427,54,2,7
428,54,2,3
429,54,1,11
430,54,5,6
431,54,5,15
432,54,3,13
433,55,2,6
434,55,5,9
435,55,2,4
436,55,4,1
437,55,1,2
438,55,3,8
439,55,1,10
440,55,1,3
441,56,2,2
442,56,3,5
443,56,4,9
444,56,1,6
445,56,5,10
446,56,4,4
447,56,4,13
448,56,1,1
449,57,2,4
450,57,4,11
451,57,3,12
452,57,2,7
453,57,2,13
454,57,1,1
455,57,2,2
456,57,5,8
457,58,5,2
458,58,4,4
459,58,1,14
460,58,1,8
461,58,5,3
462,58,3,7
463,58,3,1
464,58,1,16
465,59,3,12
466,59,2,1
467,59,2,9
468,59,4,13
469,59,2,2
470,59,5,11
471,59,1,15
472,59,5,7
473,60,3,8
474,60,4,9
475,60,4,13
476,60,3,16
477,60,4,15
478,60,1,7
479,60,2,4
480,60,4,10
481,61,2,4
482,61,5,13
483,61,2,9
484,61,4,10
485,61,5,7
486,61,1,16
487,61,1,8
488,61,4,5
489,62,3,6
490,62,5,8
491,62,5,12
492,62,1,7
493,62,3,3
494,62,4,10
495,62,1,4
496,62,5,14
497,63,2,13
498,63,1,12
499,63,4,15
500,63,4,8
501,63,2,1
502,63,2,6
503,63,2,11
504,63,1,16
505,64,2,12
506,64,1,9
507,64,3,2
508,64,3,14
509,64,5,15
510,64,2,13
511,64,3,3
512,64,1,4
513,65,5,14
514,65,2,4
515,65,4,10
516,65,1,2
517,65,3,16
518,65,4,3
519,65,1,6
520,65,5,1
521,66,2,13
522,66,2,6
523,66,2,16
524,66,1,5
525,66,3,12
526,66,4,14
527,66,5,11
528,66,1,10
529,67,5,1
530,67,2,10
531,67,5,8
532,67,4,5
533,67,3,7
534,67,5,12
535,67,1,13
536,67,4,2
537,68,2,12
538,68,5,16
539,68,3,15
540,68,2,7
541,68,5,4
542,68,1,6
543,68,5,14
544,68,2,3
545,69,4,11
546,69,5,15
547,69,1,5
548,69,5,9
549,69,5,7
550,69,2,12
551,69,2,1
552,69,2,10
553,70,3,3
554,70,5,1
555,70,3,2
556,70,3,7
557,70,4,16
558,70,3,9
559,70,3,12
560,70,1,5
561,71,1,11
562,71,5,3
563,71,4,12
564,71,2,6
565,71,4,15
566,71,4,4
567,71,2,2
568,71,5,13
569,72,3,3
570,72,5,16
571,72,3,5
572,72,5,15
573,72,3,14
574,72,3,7
575,72,5,11
576,72,4,8
577,73,3,6
578,73,1,15
579,73,3,1
580,73,3,8
581,73,5,16
582,73,5,4
583,73,5,9
584,73,2,14
585,74,5,15
586,74,1,3
587,74,2,4
588,74,4,12
589,74,5,1
590,74,3,16
591,74,3,10
592,74,1,7
593,75,5,7
594,75,1,6
595,75,1,16
596,75,5,11
597,75,3,8
598,75,2,15
599,75,5,1
600,75,1,3
601,76,2,4
602,76,4,16
603,76,2,1
604,76,2,7
605,76,1,3
606,76,5,9
607,76,1,6
608,76,5,11
609,77,2,2
610,77,2,15
611,77,4,11
612,77,1,12
613,77,1,8
614,77,5,16
615,77,3,14
616,77,4,7
617,78,5,10
618,78,4,5
619,78,5,11
620,78,1,15
621,78,5,14
622,78,5,7
623,78,4,13
624,78,2,9
625,79,1,8
626,79,2,2
627,79,2,7
628,79,5,13
629,79,2,12
630,79,2,5
631,79,4,9
632,79,5,3
633,80,3,13
634,80,4,16
635,80,1,6
636,80,2,5
637,80,5,8
638,80,4,10
639,80,5,7
640,80,3,15
641,81,3,3
642,81,4,10
643,81,5,1
644,81,2,7
645,81,1,9
646,81,4,12
647,81,4,14
648,81,1,4
649,82,2,9
650,82,4,5
651,82,4,16
652,82,5,10
653,82,3,14
654,82,3,2
655,82,4,6
656,82,5,8
657,83,5,4
658,83,1,11
659,83,3,12
660,83,2,2
661,83,5,14
662,83,5,9
663,83,1,15
664,83,4,13
665,84,2,1
666,84,1,13
667,84,5,15
668,84,1,2
669,84,4,6
670,84,1,12
671,84,1,8
672,84,3,16
673,85,1,12
674,85,2,6
675,85,3,7
676,85,3,10
677,85,5,15
678,85,2,11
679,85,3,9
680,85,3,8
681,86,4,13
682,86,4,2
683,86,5,12
684,86,5,11
685,86,5,14
686,86,3,1
687,86,3,8
688,86,1,4
689,87,3,10
690,87,2,13
691,87,1,1
692,87,4,14
693,87,3,12
694,87,1,9
695,87,2,4
696,87,3,8
697,88,1,16
698,88,1,4
699,88,3,10
700,88,2,6
701,88,5,12
702,88,2,11
703,88,1,5
704,88,5,3
705,89,2,12
706,89,4,9
707,89,3,15
708,89,2,6
709,89,1,13
710,89,3,7
711,89,4,5
712,89,3,14
713,90,4,14
714,90,4,4
715,90,3,6
716,90,2,16
717,90,1,1
718,90,1,5
719,90,5,11
720,90,1,2
721,91,3,12
722,91,4,1
723,91,4,11
724,91,5,6
725,91,4,9
726,91,4,15
727,91,5,14
728,91,4,4
729,92,4,11
730,92,1,4
731,92,3,12
732,92,5,10
733,92,4,16
734,92,5,5
735,92,1,14
736,92,2,3
737,93,5,6
738,93,5,4
739,93,2,14
740,93,1,7
741,93,5,1
742,93,1,9
743,93,1,15
744,93,3,5
745,94,2,11
746,94,3,5
747,94,4,1
748,94,1,6
749,94,4,8
750,94,5,16
751,94,2,10
752,94,2,14
753,95,1,8
754,95,1,6
755,95,3,15
756,95,3,5
757,95,3,9
758,95,5,4
759,95,1,11
760,95,2,12
761,96,3,13
762,96,2,5
763,96,3,12
764,96,3,3
765,96,3,7
766,96,1,2
767,96,1,11
768,96,3,9
769,97,4,2
770,97,4,13
771,97,5,4
772,97,5,1
773,97,4,10
774,97,5,14
775,97,1,15
776,97,2,7
777,98,2,1
778,98,3,7
779,98,4,4
780,98,5,15
781,98,2,8
782,98,5,16
783,98,1,2
784,98,4,11
785,99,5,13
786,99,3,10
787,99,2,9
788,99,1,6
789,99,2,16
790,99,5,4
791,99,5,8
792,99,3,15
793,100,2,11
794,100,3,9
795,100,5,5
796,100,3,1
797,100,1,8
798,100,2,2
799,100,2,12
800,100,2,3
